epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3366,0.64946,3.00758,0.98717,0.00343,1,0.99392,0.89344,0.34858,2.94258,0.8473,0.00014,0.00014,0.00014
2,71.8751,0.61265,1.48052,0.91355,0.97844,0.97143,0.99295,0.83077,0.51479,2.38961,0.91516,0.0002901,0.0002901,0.0002901
3,108.456,0.61317,1.2336,0.91129,0.99614,0.97143,0.99444,0.87249,0.43759,2.14465,0.89565,0.00042964,0.00042964,0.00042964
4,145.048,0.59114,1.15242,0.90276,0.99863,1,0.995,0.86258,0.55474,1.90765,0.93933,0.00055862,0.00055862,0.00055862
5,180.648,0.58632,1.06326,0.89867,0.99839,1,0.995,0.8577,0.5714,2.13626,1.00481,0.00067704,0.00067704,0.00067704
6,216.977,0.60525,1.06118,0.88986,1,0.98834,0.995,0.82806,0.80493,2.09988,1.74415,0.0007849,0.0007849,0.0007849
7,253.855,0.65771,1.05394,0.93355,0.98899,1,0.995,0.86631,0.58427,2.00228,1.05166,0.0008822,0.0008822,0.0008822
8,291.641,0.55043,0.95183,0.89424,1,0.93638,0.98529,0.87351,0.52578,2.36246,0.99645,0.00096894,0.00096894,0.00096894
9,328.727,0.58721,0.99882,0.91568,0.99965,1,0.995,0.85954,0.57388,1.70104,1.00061,0.00104512,0.00104512,0.00104512
10,366.155,0.64936,0.9666,0.92762,0.99679,1,0.995,0.86273,0.52864,1.7623,0.94676,0.00111074,0.00111074,0.00111074
11,402.785,0.5766,0.92089,0.90639,0.99776,1,0.995,0.83673,0.58214,1.45744,0.97147,0.0011658,0.0011658,0.0011658
12,439.941,0.65119,0.9123,0.91443,0.9961,1,0.995,0.82289,0.59525,1.3235,0.97563,0.0012103,0.0012103,0.0012103
13,476.416,0.60785,0.91927,0.88454,0.97096,1,0.995,0.87723,0.53158,1.3053,0.97244,0.001208,0.001208,0.001208
14,514.941,0.6329,0.95957,0.91203,0.99714,1,0.995,0.86914,0.47236,1.06812,0.90145,0.001142,0.001142,0.001142
15,552.21,0.58269,0.77134,0.893,0.99346,1,0.995,0.86524,0.49219,0.96651,0.91724,0.001076,0.001076,0.001076
16,589.819,0.52077,0.76589,0.88505,0.99596,1,0.995,0.87319,0.52373,1.01284,0.91778,0.00101,0.00101,0.00101
17,626.299,0.56132,0.81452,0.89912,0.99707,1,0.995,0.87355,0.43816,0.94394,0.87508,0.000944,0.000944,0.000944
18,662.797,0.49636,0.74327,0.88256,1,0.99375,0.995,0.87461,0.43461,0.85359,0.86808,0.000878,0.000878,0.000878
19,700.131,0.5704,0.80361,0.92389,0.99633,1,0.995,0.8662,0.43195,0.81948,0.869,0.000812,0.000812,0.000812
20,736.273,0.55108,0.74972,0.88912,0.99802,1,0.995,0.89674,0.44899,0.7686,0.86277,0.000746,0.000746,0.000746
21,774.482,0.46794,0.78061,0.84215,0.99667,1,0.995,0.90522,0.38794,0.79246,0.8457,0.00068,0.00068,0.00068
22,810.102,0.46046,0.79954,0.84842,0.99797,1,0.995,0.89953,0.39843,0.81855,0.844,0.000614,0.000614,0.000614
23,845.441,0.41742,0.74073,0.82965,0.99802,1,0.995,0.88918,0.35797,0.75854,0.83617,0.000548,0.000548,0.000548
24,882.779,0.4298,0.69514,0.81307,0.99775,1,0.995,0.88773,0.34876,0.69877,0.84258,0.000482,0.000482,0.000482
25,919.647,0.39762,0.67653,0.81323,0.99208,1,0.995,0.88963,0.41263,0.76196,0.85872,0.000416,0.000416,0.000416
26,957.684,0.40846,0.6988,0.82001,0.99499,1,0.995,0.89656,0.41145,0.72547,0.86065,0.00035,0.00035,0.00035
27,995.185,0.40013,0.67231,0.83292,0.99709,1,0.995,0.90205,0.4108,0.67744,0.85838,0.000284,0.000284,0.000284
28,1032.05,0.38511,0.65018,0.81795,0.99785,1,0.995,0.90602,0.42004,0.64278,0.85429,0.000218,0.000218,0.000218
29,1068.63,0.37589,0.62624,0.82814,0.99827,1,0.995,0.8966,0.42194,0.62177,0.85771,0.000152,0.000152,0.000152
30,1105.41,0.37571,0.61849,0.81604,0.99838,1,0.995,0.89566,0.40903,0.60823,0.85466,8.6e-05,8.6e-05,8.6e-05
